Reference,Value,Datasheet,Footprint,Qty,DNP
C1,18.2u,https://cdn-reichelt.de/documents/datenblatt/B300/TANTAL-TB-Serie%23.pdf,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,
C2,100p,http://www.vishay.com/docs/45233/krseries.pdf,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,1,
D1,D_Schottky,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_HL-Haolin-Elec-SR840_C237253.pdf,Diode_THT:D_DO-201AD_P12.70mm_Horizontal,1,
D2,D,https://www.st.com/resource/en/datasheet/db3tg.pdf,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,1,
J1,Input 24V,https://www.farnell.com/datasheets/2138224.pdf,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,
J2,Output 5V,https://www.farnell.com/datasheets/2138224.pdf,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,
J3,Input 5V,https://www.farnell.com/datasheets/2138224.pdf,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,
L1,50u,https://datasheet.octopart.com/PE-92112KNL-Pulse-datasheet-17853305.pdf,Inductor_THT:L_Toroid_Vertical_L16.0mm_W8.0mm_P7.62mm,1,
"Q1,Q2",NMOS,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs,Package_TO_SOT_THT:TO-220-3_Vertical,2,
R1,1.15,https://cdn-reichelt.de/documents/datenblatt/B400/1_4W%23YAG.pdf,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R2,100k,https://cdn-reichelt.de/documents/datenblatt/B400/1_4W%23YAG.pdf,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,
R3,47k,https://cdn-reichelt.de/documents/datenblatt/B400/1_4W%23YAG.pdf,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,
R4,100,https://cdn-reichelt.de/documents/datenblatt/B400/1_4W%23YAG.pdf,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
U1,NE555D,http://www.ti.com/lit/ds/symlink/ne555.pdf,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,
